121,"Mezgo","2009-05-12 18:31:35","ani",\N,\N,\N,\N
122,"Maruchan","2009-05-14 17:43:37","ani",\N,\N,\N,\N
123,"SOS","2009-05-14 18:54:22","ani",\N,\N,\N,\N
124,"Buena Vista","2009-05-14 19:04:16","ani",\N,\N,\N,\N
125,"Whiskas","2009-05-14 19:34:07","ani",\N,\N,\N,\N
126,"Chilchota","2009-05-16 15:21:15","ani",\N,\N,\N,\N
127,"La Pilarica","2009-05-16 15:22:09","ani",\N,\N,\N,\N
128,"Yakult","2009-05-16 16:02:10","ani",\N,\N,\N,\N
129,"Danone","2009-05-18 14:04:51","ani",\N,\N,\N,\N
130,"Wonder","2009-05-19 13:47:45","ani",\N,\N,\N,\N
131,"Lara","2009-05-22 16:07:13","ani",\N,\N,\N,\N
132,"Milpa Real","2009-05-23 16:17:03","ani",\N,\N,\N,\N
133,"Sheryn","2009-05-25 16:12:03","ani",\N,\N,\N,\N
134,"Barcel","2009-05-26 16:25:26","ani",\N,\N,\N,\N
135,"Mars","2009-05-27 15:42:50","ani",\N,\N,\N,\N
136,"Holanda","2009-05-28 18:17:31","ani",\N,\N,\N,\N
137,"Chalet","2009-08-23 11:23:44","ani",\N,\N,\N,\N
